partner,source_sheet,section,entity,metric,student_group,school_year,value,notes
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Kindergarten Student Enrollment,Kindergarten Student Enrollment,,2022-23,100,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Kindergarten Student Enrollment,Kindergarten Student Enrollment,,2023-24,115,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Kindergarten Student Enrollment,Kindergarten Student Enrollment,,2024-25,97,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Grade 4 Student Enrollment,Grade 4 Student Enrollment,,2017-18,112,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Grade 4 Student Enrollment,Grade 4 Student Enrollment,,2018-19,124,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Grade 4 Student Enrollment,Grade 4 Student Enrollment,,2019-20,121,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Grade 4 Student Enrollment,Grade 4 Student Enrollment,,2020-21,106,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Grade 4 Student Enrollment,Grade 4 Student Enrollment,,2021-22,109,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Grade 4 Student Enrollment,Grade 4 Student Enrollment,,2022-23,122,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Grade 4 Student Enrollment,Grade 4 Student Enrollment,,2023-24,107,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Grade 4 Student Enrollment,Grade 4 Student Enrollment,,2024-25,112,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,AI/AN Student Enrollment,AI/AN Student Enrollment,,2017-18,670,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,AI/AN Student Enrollment,AI/AN Student Enrollment,,2018-19,643,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,AI/AN Student Enrollment,AI/AN Student Enrollment,,2019-20,665,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,AI/AN Student Enrollment,AI/AN Student Enrollment,,2020-21,637,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,AI/AN Student Enrollment,AI/AN Student Enrollment,,2021-22,592,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,AI/AN Student Enrollment,AI/AN Student Enrollment,,2022-23,572,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,AI/AN Student Enrollment,AI/AN Student Enrollment,,2023-24,580,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,AI/AN Student Enrollment,AI/AN Student Enrollment,,2024-25,559,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Total Student Enrollment,Total Student Enrollment,,2017-18,612,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Total Student Enrollment,Total Student Enrollment,,2018-19,784,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Total Student Enrollment,Total Student Enrollment,,2019-20,783,
