partner,source_sheet,section,entity,metric,student_group,school_year,value,notes,record_type,student_count,category,location,period,circulation,program_attendance,visitation,enrollment_count,books_read,met_minimum,books_distributed
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Student Enrollment,,2022-23,657,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Student Enrollment,,2023-24,674,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Pembroke Elementary,Student Enrollment,,2024-25,665,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Student Enrollment,,2016-17,459,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Student Enrollment,,2017-18,439,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Student Enrollment,,2018-19,468,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Student Enrollment,,2019-20,473,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Student Enrollment,,2020-21,432,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Student Enrollment,,2021-22,421,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Student Enrollment,,2022-23,406,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Student Enrollment,,2023-24,406,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,Robeson County Schools,Student Enrollment,,2024-25,406,,reading_assessment,,,,,,,,,,,
Lumbee,New Lumbee Reading Data,North Carolina School Report Cards,State of North Carolina,Student Enrollment,,2016-17,490,,reading_assessment,,,,,,,,,,,
